PID,Product Name,Category,Final Price,Initial Price,Color,Primary Color,Fabric
CL0036937, Lace waist cotton knit maxi dress, Dress,79.95,55.95, Orange/champagne, Orange, Viscose Spandex
CL0034776, Floral embroidered tulle poplin dress, Dress,96.95,96.95, Off-white/khaki, Off-white, Cotton Polyester
CL0033208, Adelyn dress, Dress,86.95,65.95, Khaki/deep navy, Khaki, Cotton
CL0037054, Mixed media sheer tulle insert dress, Dress,84.95,63.95, Black/green multi, Black, Cotton Polyester
CL0036828, Dolman sleeve sequin mesh gown, Dress,139.95,139.95, Silver gray, Silver gray, Polyester Metallic
CL0037004, Crinkle cotton elastic waist skirt, Skirt,49.95,37.95, White/light blue, White, Cotton
CL0036912, Embellished hem cotton knit full skirt, Skirt,76.95,53.95, Leaf green/gold, Leaf green, Cotton
CL0037016, Polka dot jacquard pleated skirt, Skirt,89.95,67.95, Off-white/navy, Off-white, Cotton
CL0036908, Embellished hem cotton knit full skirt, Skirt,76.95,53.95, Maize yellow/gold, Maize yellow, Cotton Spandex
CL0036667, Angled hem graphic bib chiffon tunic, Dress,76.95,46.95, Strawberry ice/orange/white, Strawberry ice, Polyester
CL0035800, Contrast banded trim poplin shirtdress, Dress,64.95,42.95, Poppy red/white, Poppy red, Cotton
CL0036913, Floral dot print chiffon asymmetrical tunic, Top,59.95,41.95, Ivory/coral/black, Ivory, Polyester
CL0032948, Owl embellished two tone poplin dress, Dress,76.95,53.95, Black/loden green, Black, Cotton
CL0036893, Megan dress, Dress,106.95,106.95, Off-white/sunset gold, Off-white, Cotton Polyester
CL0037102, Chevron stripe colorblock maxi dress, Dress,99.95,79.95, Poppy red/white/deep navy, Poppy red, Cotton
CL0035806, Piped trim poplin A-line dress, Dress,69.95,45.95, Poppy red/white, Poppy red, Cotton
CL0036905, Heather knit open front cardigan, Jacket,59.95,41.95, Sea green/off-white, Sea green, Cotton Polyester
CL0036900, Ella dress, Dress,149.95,104.95, Cream, Cream, Polyester
CL0036812, Floral graphic print crepe pants, Pant,79.95,47.95, Black multi, Black multi, Polyester
CL0037019, Bold stripe cold shoulder knit top, Top,49.95,37.95, Black/white, Black, Cotton
CL0036865, Summer floral cotton shirtdress, Dress,79.95,55.95, White multi, White multi, Cotton Spandex
CL0036955, Cotton knit drop yoke skirt, Skirt,54.95,38.95, Maize yellow, Maize yellow, Cotton Spandex
CL0036914, Piped trim stripe print sundress, Dress,89.95,62.95, Cream/black multi, Cream, Cotton
CL0036832, Strapless floral embroidered lace sheath, Dress,129.95,129.95, Sunset yellow, Sunset yellow, Polyester
CL0036906, Side button cotton knit skirt, Skirt,49.95,34.95, Crimson red, Crimson red, Cotton Spandex
CL0036945, Mosaic tile print drop yoke skirt, Skirt,59.95,41.95, Black multi, Black multi, Polyester Crepe de Chine
CL0036938, Eyelet and floral print popover back dress, Dress,79.95,55.95, White/cream multi, White, Cotton
CL0036959, Floral stripe print sateen skirt, Skirt,64.95,45.95, Off-white/black, Off-white, Cotton Spandex
CL0036870, Jersey knit surplice blouson top, Top,74.95,44.95, Coral, Coral, Viscose Spandex
CL0036918, Graphic stripe print sash-waist dress, Dress,89.95,62.95, Olive multi, Olive multi, Cotton
CL0036920, Banded back graphic mesh dress, Dress,89.95,62.95, Off-white, Off-white, Nylon Polyester
CL0036926, Graphic belt floral chiffon dress, Dress,69.95,48.95, Olive/off-white/black, Olive, Polyester
CL0036927, Belted check print cotton dress, Dress,79.95,55.95, Celadon green multi, Celadon green multi, Cotton
CL0036774, Floral lace cocktail sheath dress, Dress,149.95,149.95, Red, Red, Cotton Nylon
CL0036953, Contrast collar heart print shirtdress, Dress,59.95,41.95, Peach/off-white/brown, Peach, Cotton
CL0036965, Island print cotton banded back dress, Dress,64.95,45.95, Aqua multi, Aqua multi, Cotton
CL0036931, Ruffle trim trapeze jersey dress, Dress,89.95,44.95, Deep olive, Deep olive, Viscose Spandex
CL0037105, Asymmetric hem jersey tank dress, Dress,79.95,55.95, Black/off-white, Black, Cotton Rayon Spandex
CL0036915, Embellished A-line chambray skirt, Skirt,66.95,46.95, Deep indigo multi, Deep indigo multi, Cotton
CL0036897, Tile border print chiffon dress, Dress,79.95,51.95, Deep brown/peach/mint, Deep brown, Polyester
CL0036886, Floral burnout organza empire dress, Dress,149.95,149.95, Blush/white, Blush, Polyester
CL0037061, Jersey knit popover midi dress, Dress,99.95,69.95, Coral, Coral, Viscose Spandex
CL0037086, Chevron stripe colorblock maxi dress, Dress,99.95,79.95, Deep navy/white/surf blue, Deep navy, Cotton
CL0037079, Graphic print cutout bow back sundress, Dress,69.95,52.95, Deep navy/red/white, Deep navy, Cotton
CL0036039, Floral lace strapless mermaid dress, Dress,399.95,399.95, Off-white, Off-white, Nylon
CL0036594, Drawstring crepe stripe shirtdress, Dress,79.95,47.95, Off-white/black, Off-white, Polyester Crepe de Chine
CL0036972, Floral dot print high-low hem dress, Dress,99.95,69.95, Deep navy/yellow/white, Deep navy, Cotton
CL0037068, Racer back cotton poplin shirtdress, Dress,59.95,44.95, Surf blue, Surf blue, Cotton Spandex
