query,hits,clicks,clickThroughs,ctr,carts,orders,overall_score
Brooklyn ,91,284,73,80.22,20,2,397
Shirt dress ,133,220,70,52.63,42,1,396
Poplin dresses,81,259,67,82.72,46,1,387
skirts,199,147,65,32.66,35,0,381
empire waist,66,276,61,92.42,26,1,369
Amelia ,116,209,84,72.41,31,5,361
navy dresses,136,195,84,61.76,18,0,349
Colorblock ,101,200,64,63.37,37,0,338
Plaid ,141,165,47,33.33,23,5,334
"""cotton""",70,222,54,77.14,34,0,326
Bohemian ,18,140,17,94.44,168,0,326
overstock ,68,243,40,58.82,12,0,323
Seersucker,106,211,51,48.11,3,0,320
Silk ,94,212,55,58.51,14,0,320
Denim chambray dresses,51,170,43,84.31,74,5,300
crinoline,178,105,49,27.53,10,0,293
Chiffon ,98,178,64,65.31,16,0,292
Virginia ,87,163,58,66.67,32,0,282
Hearts,68,160,41,60.29,53,0,281
Ponte ,63,199,38,60.32,18,0,280
Rompers,78,171,51,65.38,18,1,268
Anchors,101,146,71,70.3,16,0,263
seagull,66,171,46,69.7,25,1,263
ikat ,55,193,44,80.0,10,1,259
lace dresses,86,162,61,70.93,11,0,259
Seagull print pleated cotton knit dress-Light blue/white/black,44,197,15,34.09,16,0,257
blazers,77,145,36,46.75,32,3,257
Teal ,75,170,45,60.0,12,0,257
plus size,86,136,54,62.79,27,0,249
yellow dresses,129,106,59,45.74,13,1,249
Keyhole ,20,226,14,70.0,2,0,248
Chambray dresses,70,163,47,67.14,11,0,244
Grace dress	,65,154,46,70.77,22,3,244
orange,89,146,44,49.44,4,0,239
Spandex ,43,162,29,67.44,31,2,238
 stretch,40,174,37,92.5,23,1,238
Cardigans ,73,142,42,57.53,21,1,237
vintage,80,148,48,60.0,9,0,237
Denim dresses,89,125,60,67.42,16,3,233
Scalloped ,78,129,57,73.08,24,0,231
Owl ,85,116,49,57.65,27,2,230
Amelia dress ,35,189,23,65.71,1,2,227
Maternity,81,138,48,59.26,8,0,227
Skater ,64,148,50,78.13,13,1,226
halter ,73,128,54,73.97,24,0,225
Blouson ,42,128,32,76.19,51,1,222
gold ,79,117,46,58.23,19,1,216
Lilian ,56,135,41,73.21,24,1,216
Chevron stripe colorblock maxi dress-Juniper green/white/deep navy,63,122,31,49.21,23,3,211
Color blocking,70,126,51,72.86,14,0,210
Plus Size Dresses,48,116,32,66.67,46,0,210
Sequin ,61,134,38,62.3,14,0,209
cats,80,114,26,32.5,12,0,206
Brown ,53,124,27,50.94,28,1,206
cotton dresses,33,144,28,84.85,23,1,201
trapeze,55,113,44,80.0,29,2,199
shift dresses,55,120,35,63.64,21,3,199
Marilyn ,67,120,33,49.25,8,0,195
elastic waist,41,134,31,75.61,18,0,193
jersey knit dress,35,134,26,74.29,24,0,193
Cotton knit fit and flare dress,64,112,40,62.5,15,2,193
Cotton poplin A-line shirtdress-Black,34,139,16,47.06,14,3,190
floral Dresses,56,121,38,67.86,9,0,186
sundresses ,36,134,27,75.0,14,0,184
sheath dresses,50,119,29,58.0,14,0,183
Pleat waist poplin shirtdress-Deep navy,45,107,13,28.89,28,3,183
