query,hits,clicks,clickThroughs,ctr,carts,orders
black and white,43,80,31,72.09,6,0
gray,43,44,25,58.14,4,1
Spandex ,43,162,29,67.44,31,2
lavender,43,52,13,30.23,6,2
Bird print cotton poplin dress-Navy blue multi,42,42,10,23.81,7,1
Blouson ,42,128,32,76.19,51,1
Coral ,42,51,25,59.52,4,0
Bib ,42,54,27,64.29,0,0
plum ,42,43,18,42.86,2,0
bunnies,42,26,9,21.43,6,0
Gowns ,42,92,27,64.29,6,0
Linen ,41,87,20,48.78,2,0
CL0030370 ,41,52,29,70.73,30,2
embroidered,41,63,26,63.41,15,0
elastic waist,41,134,31,75.61,18,0
Eyelet ,41,117,35,85.37,15,0
Cotton knit ,40,100,20,50,25,0
 stretch,40,174,37,92.5,23,1
feminine,39,117,23,58.97,5,1
sweaters,39,106,23,58.97,10,0
high to low,39,61,23,58.97,10,0
Belts,39,90,25,64.1,14,1
 Pleat waist poplin shirtdress,39,54,25,64.1,2,1
Returns,39,118,12,30.77,18,0
Feminine pleated knit dress,38,84,29,76.32,7,1
crop ,38,64,24,63.16,2,0
Olivia ,38,68,27,71.05,6,1
striped dress,37,87,29,78.38,9,0
swim ,37,24,7,18.92,2,1
Long Sleeve Dresses,37,98,21,56.76,8,0
Pleat front chambray denim maxi dress-Indigo,37,98,19,51.35,41,3
Bird print ,37,60,25,67.57,14,0
Feminine pleated knit dress-Navy blue,37,101,19,51.35,16,0
a-line,36,129,30,83.33,6,0
Voile,36,66,27,75,10,0
Vintage dresses,36,69,26,72.22,12,0
sundresses ,36,134,27,75,14,0
Organza ,36,100,26,72.22,0,0
horse,35,72,27,77.14,6,0
Brown dress ,35,46,22,62.86,0,0
gray dresses,35,78,25,71.43,2,0
Lilian dress-Black,35,58,15,42.86,15,0
Gold dresses,35,45,22,62.86,14,0
Brooklyn dress-Brown,35,32,9,25.71,14,1
Amelia dress ,35,189,23,65.71,1,2
jersey knit dress,35,134,26,74.29,24,0
Elastic waist chambray maxi dress-Indigo,35,18,9,25.71,5,0
Cutout ,35,68,26,74.29,2,0
Kimono ,34,36,15,44.12,6,0
Bows,34,80,19,55.88,8,0
Cotton poplin A-line shirtdress-Black,34,139,16,47.06,14,3
brooklyn dresses,34,68,28,82.35,5,0
Landscape,34,43,24,70.59,11,0
orange dress,33,49,19,57.58,14,0
burgundy,33,35,9,27.27,22,0
colorblock dresses,33,61,24,72.73,22,0
dogs,33,76,26,78.79,8,0
cotton dresses,33,144,28,84.85,23,1
Lips,33,16,9,27.27,0,0
Morgan dress ,32,67,24,75,2,0
Ellen ,32,52,17,53.13,7,1
Ella ,32,37,13,40.63,0,0
Obi ,32,67,13,40.63,22,1
"""drop waist""",32,83,25,78.13,8,0
Dahlia crinoline-Black,32,60,10,31.25,10,0
pleated,32,79,20,62.5,4,0
Aurora ,32,30,21,65.63,2,0
Cotton spandex ,31,70,25,80.65,6,1
Balloon ,31,49,16,51.61,0,0
Polka ,31,47,21,67.74,20,0
"""Feminine pleated""",31,30,19,61.29,0,0
A-line Dresses,30,57,20,66.67,10,0
Floral vine print cotton dress-Off-white/teal multi,30,28,6,20,6,0
Amelia dress-Prussian blue,30,39,11,36.67,8,0
Jersey dresses,30,78,22,73.33,8,0
chevron stripe dresses,30,53,24,80,16,0
Tie neck ,30,42,24,80,7,0
Piped trim polka dot print dress-Off-white/navy,30,80,18,60,19,0
victoria ,29,44,18,62.07,0,0
Royal blue ,29,33,19,65.52,2,0
Paisley,29,38,20,68.97,4,0
 Loden Green,29,48,21,72.41,4,0
 CL0032310,29,66,13,44.83,38,0
georgette,29,77,17,58.62,7,0
Trapunto ,28,42,20,71.43,2,1
Fruit ,28,49,17,60.71,4,0
Grace dress-Black,28,49,12,42.86,9,0
chambray skirts,28,33,16,57.14,8,0
blush ,28,28,12,42.86,0,0
piped,28,34,20,71.43,0,0
TURQUOISE,27,45,17,62.96,2,0
retro dresses,27,58,26,96.3,0,0
Paisley embellished voile tunic dress-White multi,27,5,3,11.11,0,0
Peter Pan ,27,36,14,51.85,10,0
pencill skirt,27,49,17,62.96,1,0
Bolero ,27,38,17,62.96,8,0
